iter	Passed	Remaining
0	132	132534
1	134	67141
2	136	45373
3	138	34375
4	139	27825
5	141	23488
6	143	20401
7	145	18052
8	147	16244
9	149	14767
10	150	13559
11	153	12646
12	155	11838
13	158	11181
14	161	10605
15	163	10043
16	164	9507
17	165	9034
18	166	8618
19	169	8298
20	171	7974
21	173	7694
22	175	7435
23	177	7200
24	178	6978
25	180	6777
26	182	6567
27	183	6371
28	184	6184
29	186	6033
30	188	5883
31	189	5735
32	192	5630
33	193	5503
34	194	5373
35	196	5248
36	197	5129
37	198	5022
38	199	4915
39	200	4818
40	201	4722
41	203	4631
42	204	4550
43	205	4465
44	206	4384
45	207	4305
46	208	4229
47	209	4159
48	210	4093
49	212	4028
50	213	3969
51	214	3909
52	215	3858
53	217	3806
54	218	3752
55	219	3699
56	220	3647
57	221	3600
58	223	3557
59	224	3515
60	225	3473
61	227	3435
62	228	3394
63	229	3358
64	231	3326
65	232	3292
66	233	3257
67	234	3217
68	236	3186
69	237	3155
70	238	3125
71	240	3093
72	241	3069
73	243	3041
74	244	3015
75	245	2989
76	247	2965
77	248	2942
78	250	2916
79	251	2891
80	252	2865
81	253	2841
82	255	2819
83	256	2797
84	257	2769
85	258	2748
86	259	2724
87	261	2707
88	262	2686
89	264	2669
90	265	2651
91	266	2634
92	268	2618
93	269	2599
94	271	2584
95	272	2568
96	274	2551
97	275	2534
98	276	2518
99	278	2503
100	279	2491
101	280	2472
102	282	2458
103	283	2442
104	284	2426
105	285	2409
106	286	2392
107	287	2375
108	288	2359
109	289	2346
110	290	2329
111	292	2316
112	294	2308
113	295	2295
114	296	2282
115	297	2269
116	299	2259
117	300	2248
118	301	2233
119	302	2219
120	303	2206
121	305	2195
122	305	2181
123	307	2170
124	308	2159
125	309	2147
126	311	2138
127	312	2125
128	313	2115
129	314	2104
130	315	2093
131	316	2084
132	318	2078
133	320	2069
134	321	2059
135	322	2050
136	323	2040
137	324	2028
138	325	2018
139	327	2009
140	328	2000
141	329	1992
142	331	1986
143	332	1979
144	334	1970
145	335	1960
146	336	1952
147	337	1945
148	339	1936
149	340	1928
150	341	1919
151	342	1911
152	343	1903
153	345	1897
154	346	1889
155	347	1882
156	349	1875
157	350	1868
158	351	1860
159	352	1852
160	353	1844
161	355	1836
162	356	1829
163	357	1822
164	358	1816
165	360	1808
166	361	1801
167	362	1793
168	363	1785
169	364	1778
170	365	1771
171	366	1763
172	367	1757
173	369	1752
174	370	1746
175	371	1741
176	373	1735
177	374	1729
178	375	1723
179	376	1716
180	377	1708
181	378	1702
182	379	1695
183	381	1690
184	382	1684
185	383	1678
186	385	1673
187	386	1668
188	387	1662
189	388	1656
190	389	1651
191	390	1644
192	392	1639
193	393	1634
194	394	1629
195	396	1625
196	397	1620
197	398	1615
198	400	1610
199	401	1605
200	402	1600
201	403	1595
202	404	1589
203	406	1584
204	407	1579
205	408	1574
206	409	1568
207	410	1563
208	411	1559
209	413	1554
210	414	1548
211	415	1544
212	416	1539
213	417	1534
214	419	1529
215	420	1524
216	421	1520
217	422	1515
218	423	1509
219	424	1504
220	425	1500
221	426	1495
222	427	1490
223	429	1486
224	430	1482
225	431	1479
226	433	1475
227	434	1470
228	435	1466
229	436	1462
230	437	1457
231	438	1453
232	439	1448
233	441	1444
234	442	1439
235	443	1434
236	444	1430
237	445	1425
238	446	1421
239	447	1417
240	448	1413
241	449	1408
242	450	1404
243	452	1400
244	453	1396
245	454	1393
246	455	1389
247	457	1385
248	458	1381
249	459	1377
250	460	1373
251	461	1369
252	462	1365
253	463	1361
254	464	1357
255	465	1354
256	467	1350
257	468	1347
258	469	1343
259	470	1340
260	472	1336
261	473	1333
262	474	1329
263	476	1327
264	477	1324
265	478	1320
266	479	1317
267	480	1313
268	481	1309
269	482	1305
270	484	1302
271	485	1298
272	486	1296
273	488	1293
274	489	1289
275	490	1286
276	491	1283
277	493	1280
278	494	1277
279	495	1274
280	496	1271
281	498	1268
282	499	1265
283	500	1261
284	501	1258
285	502	1255
286	504	1252
287	505	1249
288	506	1245
289	507	1242
290	508	1239
291	509	1236
292	510	1232
293	512	1230
294	513	1226
295	514	1223
296	515	1220
297	517	1218
298	518	1215
299	519	1211
300	520	1208
301	521	1204
302	522	1201
303	523	1198
304	524	1194
305	525	1191
306	526	1188
307	527	1184
308	528	1181
309	529	1178
310	530	1174
311	531	1171
312	532	1168
313	533	1165
314	534	1162
315	535	1159
316	536	1156
317	538	1153
318	539	1151
319	540	1149
320	541	1146
321	543	1143
322	544	1140
323	545	1137
324	546	1134
325	547	1131
326	548	1128
327	549	1125
328	550	1122
329	551	1119
330	552	1116
331	553	1113
332	554	1110
333	555	1107
334	556	1105
335	557	1102
336	558	1099
337	560	1096
338	561	1094
339	562	1091
340	563	1089
341	564	1086
342	566	1084
343	567	1081
344	568	1078
345	569	1076
346	570	1073
347	571	1070
348	572	1067
349	573	1065
350	574	1062
351	575	1059
352	576	1057
353	577	1054
354	578	1051
355	579	1048
356	580	1045
357	581	1043
358	582	1040
359	584	1038
360	585	1035
361	586	1033
362	587	1030
363	588	1027
364	589	1025
365	590	1022
366	591	1019
367	592	1017
368	593	1014
